	CP.13.sed.PM	CP.39.water	CP2.42.water	CP.12.sed	CP.49.water	CP.7.sed	CP2.38.water	CP.35.water	CP.14.sed.PM	CP.45.water	CP.31.water	CP.3.water	CP2.42.sed	CP2.3.water.PM	CP.12.water	CP2.0.sand	CP.39.sed	CP2.28.sed	CP2.28.water	CP.42.water	CP.12.sed.PM	CP2.2.sed.PM	CP2.13.water	CP.3.sed	CP.5.water	CP2.34.water	CP.14.sed	CP2.24.water	CP2.0.intake	CP.47.sed	CP2.16.water	CP2.36.sed	CP.46.sed	CP.35.sed	CP.42.sed	CP2.2.water.PM	CP.0.sand	CP2.2.water	CP.53.sed	CP.13.water	CP2.31.water	CP2.0.sed	IW.0.water	CP.24.water	CP.31.sed	T.0.sed	CP2.0.water	CP.45.sed	CP2.38.sed	CP2.3.sed.PM	CP2.13.sed	CP.14.water.PM	CP.47.water	CP.21.sed	CP.24.sed	CP.48.sed	CP.5.sed	CP2.10.sed	CP2.35.sed	CP.27.water	CP.1.sed	CP2.5.sed	CP.16.water	CP.7.water	CP2.31.sed	CP2.3.water	CP.16.sed	CP.13.sed	CP.1.water	CP2.1.sed	T.0.water	CP.46.water	CP2.16.sed	CP2.2.sed	CP.48.water	CP2.20.water	CP.21.water	CP2.3.sed	CP2.5.water	CP.19.water	CP.10.water	CP.53.water	CP2.10.water	CP.0.sed	CP2.36.water	CP2.20.sed	CP2.37.water	CP.14.water	CP2.35.water	CP.49.sed	CP.13.water.PM	CP.0.water	CP.12.water.PM	CP.27.sed	CP.19.sed	CP.10.sed	CP2.8.water
CP.13.sed.PM	0.0	0.968	0.959	0.558	0.969	0.561	0.936	0.971	0.837	0.843	0.962	0.592	0.855	0.815	0.875	0.915	0.94	0.966	0.948	0.861	0.892	0.933	0.975	0.563	0.632	0.938	0.799	0.965	0.932	0.833	0.987	0.873	0.773	0.963	0.845	0.723	0.723	0.711	0.822	0.862	0.945	0.769	0.943	0.897	0.958	0.968	0.822	0.782	0.878	0.747	0.952	0.891	0.941	0.943	0.943	0.82	0.421	0.954	0.831	0.933	0.673	0.885	0.909	0.69	0.944	0.816	0.857	0.9	0.693	0.77	0.932	0.915	0.953	0.699	0.959	0.955	0.953	0.934	0.9	0.945	0.811	0.864	0.968	0.779	0.938	0.966	0.965	0.947	0.913	0.907	0.767	0.71	0.937	0.881	0.922	0.609	0.976
CP.39.water	0.968	0.0	0.875	0.97	0.851	0.968	0.878	0.749	0.903	0.847	0.767	0.962	0.925	0.921	0.972	0.994	0.811	0.939	0.697	0.974	0.948	0.949	0.918	0.968	0.973	0.844	0.927	0.839	0.977	0.861	0.937	0.837	0.895	0.929	0.962	0.921	0.99	0.922	0.912	0.92	0.81	0.99	0.971	0.927	0.923	0.943	0.988	0.936	0.927	0.93	0.946	0.912	0.85	0.928	0.844	0.9	0.966	0.952	0.91	0.852	0.964	0.931	0.887	0.962	0.9	0.944	0.946	0.945	0.958	0.965	0.902	0.854	0.938	0.94	0.826	0.829	0.854	0.919	0.937	0.855	0.962	0.908	0.937	0.987	0.808	0.914	0.846	0.937	0.863	0.869	0.925	0.992	0.975	0.945	0.937	0.97	0.958
CP2.42.water	0.959	0.875	0.0	0.948	0.725	0.96	0.654	0.847	0.936	0.864	0.879	0.974	0.878	0.967	0.97	0.969	0.858	0.92	0.835	0.984	0.934	0.954	0.919	0.976	0.967	0.876	0.95	0.827	0.961	0.912	0.932	0.911	0.929	0.926	0.971	0.955	0.972	0.968	0.913	0.947	0.808	0.968	0.966	0.924	0.93	0.941	0.982	0.941	0.9	0.957	0.942	0.906	0.773	0.915	0.879	0.914	0.97	0.94	0.951	0.89	0.974	0.949	0.885	0.965	0.9	0.943	0.93	0.927	0.977	0.963	0.92	0.799	0.932	0.967	0.723	0.842	0.868	0.905	0.942	0.891	0.953	0.907	0.93	0.978	0.758	0.911	0.675	0.939	0.788	0.877	0.945	0.985	0.978	0.948	0.933	0.96	0.952
CP.12.sed	0.558	0.97	0.948	0.0	0.949	0.526	0.92	0.974	0.893	0.889	0.959	0.764	0.797	0.871	0.861	0.905	0.958	0.99	0.939	0.886	0.943	0.962	0.971	0.694	0.751	0.939	0.864	0.954	0.943	0.847	0.987	0.84	0.81	0.971	0.908	0.815	0.805	0.784	0.846	0.846	0.943	0.842	0.929	0.879	0.974	0.982	0.877	0.802	0.835	0.812	0.984	0.89	0.923	0.947	0.946	0.826	0.614	0.971	0.808	0.933	0.801	0.909	0.886	0.775	0.961	0.889	0.84	0.917	0.831	0.834	0.947	0.914	0.981	0.773	0.941	0.95	0.941	0.939	0.918	0.93	0.812	0.893	0.965	0.847	0.938	0.981	0.938	0.965	0.906	0.882	0.79	0.836	0.928	0.901	0.925	0.547	0.969
CP.49.water	0.969	0.851	0.725	0.949	0.0	0.956	0.747	0.823	0.901	0.779	0.821	0.953	0.902	0.918	0.941	0.98	0.883	0.948	0.858	0.97	0.952	0.967	0.83	0.977	0.943	0.883	0.906	0.816	0.973	0.834	0.916	0.911	0.923	0.947	0.982	0.909	0.984	0.924	0.885	0.916	0.846	0.984	0.974	0.946	0.942	0.958	0.986	0.916	0.818	0.925	0.961	0.867	0.654	0.935	0.83	0.846	0.972	0.96	0.952	0.851	0.975	0.896	0.795	0.921	0.923	0.915	0.949	0.954	0.979	0.967	0.911	0.751	0.948	0.93	0.506	0.822	0.712	0.912	0.897	0.735	0.923	0.771	0.885	0.99	0.811	0.928	0.754	0.951	0.827	0.784	0.913	0.983	0.962	0.958	0.942	0.96	0.928
CP.7.sed	0.561	0.968	0.96	0.526	0.956	0.0	0.928	0.97	0.886	0.873	0.966	0.674	0.882	0.856	0.899	0.943	0.962	0.995	0.945	0.991	0.97	0.966	0.975	0.535	0.65	0.939	0.853	0.954	0.948	0.844	0.981	0.886	0.782	0.986	0.995	0.767	0.865	0.721	0.958	0.849	0.948	0.845	0.944	0.919	0.991	0.992	0.889	0.766	0.894	0.787	0.993	0.894	0.938	0.966	0.946	0.794	0.432	0.982	0.843	0.95	0.709	0.918	0.888	0.7	0.968	0.864	0.88	0.938	0.726	0.768	0.962	0.922	0.987	0.714	0.952	0.948	0.947	0.955	0.915	0.938	0.812	0.98	0.966	0.869	0.953	0.989	0.962	0.977	0.919	0.918	0.895	0.784	0.943	0.987	0.946	0.404	0.97
CP2.38.water	0.936	0.878	0.654	0.92	0.747	0.928	0.0	0.848	0.903	0.806	0.858	0.854	0.865	0.908	0.931	0.963	0.868	0.946	0.837	0.981	0.942	0.957	0.919	0.957	0.875	0.862	0.892	0.803	0.965	0.886	0.896	0.903	0.922	0.946	0.975	0.861	0.968	0.858	0.921	0.918	0.79	0.971	0.961	0.941	0.949	0.954	0.978	0.919	0.858	0.85	0.954	0.904	0.703	0.926	0.876	0.912	0.941	0.951	0.935	0.869	0.969	0.948	0.83	0.828	0.925	0.901	0.926	0.943	0.971	0.954	0.917	0.775	0.944	0.873	0.738	0.838	0.842	0.918	0.891	0.833	0.882	0.845	0.937	0.979	0.751	0.933	0.654	0.938	0.803	0.865	0.925	0.972	0.962	0.962	0.932	0.938	0.956
CP.35.water	0.971	0.749	0.847	0.974	0.823	0.97	0.848	0.0	0.926	0.827	0.751	0.976	0.921	0.949	0.963	0.991	0.882	0.949	0.833	0.97	0.949	0.953	0.905	0.985	0.965	0.903	0.933	0.804	0.968	0.848	0.928	0.906	0.917	0.931	0.981	0.941	0.99	0.952	0.883	0.927	0.801	0.984	0.968	0.912	0.895	0.947	0.987	0.933	0.909	0.943	0.942	0.906	0.811	0.92	0.755	0.905	0.976	0.95	0.952	0.75	0.981	0.937	0.874	0.96	0.916	0.938	0.945	0.946	0.984	0.97	0.892	0.859	0.926	0.948	0.808	0.84	0.8	0.929	0.932	0.824	0.959	0.892	0.928	0.984	0.867	0.915	0.829	0.944	0.878	0.844	0.938	0.992	0.977	0.932	0.942	0.971	0.967
CP.14.sed.PM	0.837	0.903	0.936	0.893	0.901	0.886	0.903	0.926	0.0	0.794	0.876	0.818	0.909	0.529	0.892	0.981	0.784	0.81	0.889	0.964	0.822	0.82	0.883	0.851	0.831	0.816	0.542	0.886	0.937	0.85	0.94	0.882	0.873	0.796	0.888	0.671	0.912	0.707	0.946	0.762	0.882	0.933	0.93	0.845	0.867	0.823	0.933	0.886	0.9	0.655	0.845	0.724	0.893	0.828	0.904	0.885	0.842	0.822	0.903	0.9	0.865	0.795	0.778	0.815	0.792	0.547	0.796	0.817	0.865	0.844	0.851	0.837	0.842	0.71	0.914	0.829	0.876	0.757	0.677	0.824	0.835	0.898	0.923	0.903	0.914	0.804	0.922	0.788	0.902	0.872	0.779	0.899	0.895	0.841	0.834	0.899	0.865
CP.45.water	0.843	0.847	0.864	0.889	0.779	0.873	0.806	0.827	0.794	0.0	0.832	0.832	0.88	0.806	0.922	0.954	0.89	0.952	0.87	0.972	0.918	0.931	0.913	0.858	0.893	0.792	0.813	0.855	0.943	0.753	0.932	0.86	0.765	0.932	0.98	0.798	0.89	0.803	0.898	0.848	0.854	0.876	0.949	0.923	0.929	0.953	0.882	0.751	0.882	0.804	0.958	0.834	0.741	0.935	0.86	0.787	0.87	0.951	0.885	0.861	0.832	0.893	0.803	0.887	0.91	0.817	0.928	0.93	0.834	0.873	0.886	0.682	0.947	0.815	0.784	0.826	0.838	0.893	0.834	0.807	0.889	0.854	0.942	0.887	0.839	0.941	0.837	0.945	0.837	0.826	0.808	0.843	0.933	0.94	0.936	0.881	0.932
