	CP.13.sed.PM	CP.39.water	CP2.42.water	CP.12.sed	CP.49.water	CP.7.sed	CP2.38.water	CP2.24.water	CP.35.water	CP.14.sed.PM	CP.45.water	CP.31.water	CP.3.water	CP2.42.sed	CP2.3.water.PM	CP.12.water	CP2.0.sand	CP.39.sed	CP2.28.sed	CP2.28.water	CP.42.water	CP.12.sed.PM	CP2.2.sed.PM	CP2.13.water	CP.3.sed	CP.5.water	CP.16.sed	CP.14.sed	CP.27.water	CP2.0.intake	CP.47.sed	CP2.16.water	CP2.36.sed	CP.46.sed	CP.35.sed	CP.42.sed	CP2.2.water.PM	CP.0.sand	CP2.2.water	CP.53.sed	CP.13.water	CP2.31.water	CP2.0.sed	IW.0.water	CP.24.water	CP.31.sed	T.0.sed	CP2.0.water	CP.45.sed	CP2.38.sed	CP2.3.sed.PM	CP2.13.sed	CP.14.water.PM	CP.47.water	CP.21.sed	CP.24.sed	CP.48.sed	CP.5.sed	CP2.2.sed	CP2.35.sed	CP2.10.water	CP.1.sed	CP2.5.sed	CP.16.water	CP.7.water	CP.48.water	CP2.3.water	CP2.34.water	CP.13.sed	CP.1.water	CP2.1.sed	T.0.water	CP.46.water	CP2.16.sed	CP2.10.sed	CP2.31.sed	CP2.20.water	CP.21.water	CP2.3.sed	CP2.5.water	CP.19.water	CP.10.water	CP.53.water	CP.0.sed	CP2.36.water	CP2.20.sed	CP2.37.water	CP.14.water	CP2.35.water	CP.49.sed	CP.13.water.PM	CP.0.water	CP.12.water.PM	CP.27.sed	CP.19.sed	CP.10.sed	CP2.8.water
CP.13.sed.PM	0.0	0.993335492601	0.988717304329	0.917967948477	0.989229783756	0.898324615058	0.991671818266	0.989468389371	0.992578525641	0.972813261048	0.974541952217	0.987625033383	0.919054775555	0.966164915199	0.965629903038	0.976868696095	0.978591933564	0.987779536902	0.989491904997	0.9888451844	0.992091687703	0.982448036	0.988429266491	0.99108942775	0.909275854001	0.927342074136	0.968130541667	0.959956260506	0.987259687616	0.9841732563	0.966510007036	0.992676587009	0.962469619014	0.955513149985	0.986970982027	0.988212134623	0.954933747628	0.961008986284	0.952377504259	0.978290073875	0.973866060772	0.989092341254	0.960041103305	0.98783243955	0.976501145057	0.988409011623	0.986845653338	0.97383253657	0.948782063906	0.949540819584	0.955533086847	0.98925655616	0.977455937471	0.982649665725	0.985033550009	0.985662301091	0.951164167088	0.883025284488	0.95983251969	0.95908614739	0.988779292566	0.945174941525	0.976926152229	0.98627886314	0.941558592166	0.989450055167	0.969064531822	0.989656143971	0.979921057531	0.935891061476	0.962583146113	0.987368745554	0.977695354254	0.990892724769	0.985408556585	0.986015967742	0.991834840124	0.99225766364	0.982712505305	0.98190375257	0.985230160736	0.951490134493	0.99394088618	0.95997965178	0.988632021758	0.987103700897	0.990707134861	0.98439921268	0.97991977252	0.97294130869	0.97735130098	0.95984834088	0.98515638919	0.989398489287	0.982162447113	0.910892691781	0.988621074389
CP.39.water	0.993335492601	0.0	0.956362418095	0.990382932708	0.9559143553	0.989860524562	0.971208068854	0.965896967228	0.943570247064	0.98196794845	0.96799808637	0.952773794591	0.993771646883	0.983568829413	0.984036840599	0.988000688937	0.999263211382	0.964447876725	0.982544998892	0.957343646771	0.99336739398	0.990016310381	0.987094547964	0.974493563132	0.992085800674	0.993793349171	0.991314119974	0.989375723482	0.96283904665	0.990793467925	0.968415432902	0.980286946227	0.978270178535	0.981380713292	0.979016939384	0.993840088917	0.98108105098	0.998790746583	0.98867431364	0.973344663782	0.982059452017	0.956894865436	0.997773773323	0.991437442198	0.986869855008	0.987896555388	0.985273856578	0.99845505968	0.98110698077	0.985056533131	0.982958676566	0.991957642219	0.975717918036	0.953864150066	0.987608784606	0.965054772353	0.972597700488	0.994561654799	0.983267568781	0.985192462378	0.987210799102	0.995676711926	0.983928447702	0.973960304472	0.988475897221	0.954287356318	0.979507952774	0.969233958364	0.98822738537	0.992810264602	0.990541517453	0.980767629558	0.959154624012	0.990783068017	0.989874289268	0.975402779072	0.964354986827	0.957779149395	0.989498098724	0.982921121554	0.969591095553	0.989658547963	0.970665304277	0.994525561395	0.96867796645	0.978462424496	0.966937480158	0.983305826913	0.971293893287	0.970687413303	0.984029997826	0.994811628	0.989327013861	0.990329478235	0.987493604279	0.992583550481	0.980746838864
CP2.42.water	0.988717304329	0.956362418095	0.0	0.983195069287	0.942951590544	0.984543117824	0.927177492717	0.957890581586	0.963067745353	0.982663041239	0.959965833829	0.97601317899	0.992266238647	0.975708507125	0.987075060719	0.989743904386	0.989989247775	0.969545654551	0.981081408162	0.955822975025	0.992170215101	0.988509131251	0.988286546059	0.981205945792	0.988918229904	0.989538021974	0.984697637054	0.986872195406	0.974613900866	0.98856336474	0.971109318688	0.979681727324	0.976749067156	0.983264983737	0.980675394263	0.991705170517	0.991571479914	0.990523332536	0.992556792483	0.972801679615	0.982263361088	0.946399047641	0.994253064237	0.992214468555	0.986861174505	0.990067604085	0.98983851323	0.996926927881	0.976181645758	0.970357051548	0.988703227913	0.988544083633	0.972819966929	0.939799034777	0.9853379595	0.97351621302	0.975146827397	0.989934262788	0.987506475829	0.982729938297	0.984919954419	0.995697935245	0.986283956398	0.983576620129	0.989516918501	0.9330697518	0.981983050387	0.950401167794	0.988037270815	0.995391615927	0.988676888084	0.982683639893	0.954781590688	0.986836451471	0.989595602234	0.974934133617	0.957181183545	0.97199221974	0.983508059401	0.989011194468	0.975065561816	0.989993756714	0.978730697594	0.995067218414	0.926746466539	0.977276786152	0.925501617941	0.985549654622	0.94361431649	0.968313168161	0.986162077773	0.995767402263	0.992425131081	0.989699655503	0.985635473702	0.98253572403	0.982956871649
CP.12.sed	0.917967948477	0.990382932708	0.983195069287	0.0	0.984483634826	0.898483068399	0.984615116484	0.98430324325	0.989360768423	0.98065453707	0.976831288046	0.986720739578	0.941991784202	0.954354386563	0.973968638663	0.953282399	0.958501990018	0.987826515025	0.997565781269	0.980947577752	0.985810673537	0.992070582783	0.991579783273	0.987125517286	0.926300608507	0.936443064153	0.97270714466	0.973406582772	0.985253397054	0.981989976941	0.964200838067	0.994219601486	0.956230685548	0.946794883749	0.990121751847	0.996335759705	0.965258347368	0.951597974586	0.964526794437	0.976510237218	0.968829373529	0.9897704062	0.953723212881	0.985983527596	0.978328675849	0.993545648119	0.993700703271	0.971507328896	0.951745652865	0.949483712755	0.96159162488	0.996241032544	0.977152310143	0.981217713499	0.987775916209	0.983191075255	0.952041681841	0.908372693803	0.965362135856	0.936979119522	0.986415727559	0.961855097033	0.984509639502	0.975966684466	0.940004516029	0.983289541053	0.984145329508	0.982676864801	0.985171116427	0.959631738741	0.971728515738	0.987864505941	0.976156156617	0.993187153889	0.991919776116	0.986287175871	0.984562679554	0.985549065787	0.98861413758	0.974387607227	0.976815126357	0.940503473699	0.99111545238	0.969405377285	0.987325661438	0.991488265959	0.984173201132	0.992879471631	0.981613322548	0.965693980224	0.973463511126	0.974010365813	0.976416041086	0.993689695938	0.984626195889	0.880055481359	0.987613437177
CP.49.water	0.989229783756	0.9559143553	0.942951590544	0.984483634826	0.0	0.987869480435	0.946689359475	0.959218637353	0.960380452584	0.980994797744	0.944630736218	0.955561197533	0.989551256508	0.982188894466	0.98094131981	0.983117475015	0.994563534285	0.976452020402	0.987275776293	0.968609475738	0.993708278697	0.994510660072	0.989567444783	0.961055977141	0.988574223415	0.984562687126	0.989015511238	0.986205369124	0.962007462319	0.988529902589	0.960063207881	0.979096676341	0.976042783447	0.981703947821	0.98337387718	0.995438924468	0.980854377157	0.993836106638	0.987891814538	0.964693304517	0.978392372982	0.963063673932	0.993057199211	0.991145533073	0.987749233874	0.989874051874	0.990330036369	0.99678779336	0.984778814833	0.964855301828	0.986296717897	0.988878812063	0.977889370905	0.917242623427	0.987605586694	0.961090981638	0.962945120419	0.990306289505	0.983623270058	0.987128009592	0.972631191957	0.994510719325	0.974200010654	0.964783930488	0.987602677156	0.882274012083	0.982589744296	0.971921702118	0.993793533027	0.994070828933	0.991586450359	0.981736084268	0.930249422472	0.988673387322	0.991717497143	0.982602367872	0.951278495437	0.945826704485	0.986903128465	0.978934158974	0.945900985639	0.985515318564	0.939415237408	0.991211572384	0.945463216117	0.981730775135	0.947926648794	0.986419275158	0.950357117395	0.956460546052	0.980774583672	0.994809456631	0.990653726677	0.992649131467	0.986823593074	0.988214652669	0.975829304354
CP.7.sed	0.898324615058	0.989860524562	0.984543117824	0.898483068399	0.987869480435	0.0	0.988447655373	0.982498672082	0.988610391253	0.981597197932	0.978476263039	0.984703304709	0.901378029846	0.963546605387	0.953656269588	0.948435723459	0.969236847944	0.990933958406	0.998965011003	0.982270020843	0.985578272336	0.992204717437	0.992625863849	0.989113009676	0.897978922263	0.885612905879	0.980075291253	0.961062365177	0.98817331091	0.982594326745	0.966264539925	0.985805291048	0.965147052584	0.951128676084	0.9955508081	0.996772289531	0.94563098168	0.958677937502	0.948726943597	0.981981888028	0.960539758686	0.988514414352	0.964716790616	0.988422158105	0.980944999636	0.995116341991	0.996381578947	0.969632560696	0.948932035333	0.959772021697	0.958485381846	0.996817665699	0.978928560851	0.986262905947	0.988536854813	0.986136327692	0.947966695614	0.851229277412	0.957421577764	0.954850326226	0.982020620394	0.93329285506	0.98592888333	0.980412732377	0.909186645489	0.987904673938	0.974197827353	0.986726177886	0.989498894804	0.93055799714	0.976901135046	0.985338428177	0.972978368866	0.995177975422	0.99448869866	0.98886912597	0.987633266449	0.98576511637	0.988302623326	0.961001892349	0.984076401009	0.913864450285	0.997061733924	0.965046907103	0.987125452064	0.992910817909	0.987921785376	0.995564038913	0.97101625479	0.975346653609	0.976267400443	0.963754244219	0.978065928439	0.998013088299	0.988518730024	0.862413686002	0.98615733931
CP2.38.water	0.991671818266	0.971208068854	0.927177492717	0.984615116484	0.946689359475	0.988447655373	0.0	0.959199712223	0.976178967539	0.981768288132	0.964608931012	0.976282640092	0.991978376062	0.975866238536	0.987653580412	0.991681103133	0.992156172721	0.972540212648	0.987086180043	0.964559813687	0.992190296315	0.991764496061	0.990605055455	0.978743615002	0.992427960336	0.986807691313	0.99084386202	0.990480947336	0.973554276729	0.98922871806	0.975769870856	0.98211982416	0.979971944126	0.98773662224	0.986233740841	0.994764369082	0.988055077016	0.992803473849	0.988724625547	0.97959410363	0.983158126406	0.959745595287	0.993701567584	0.994457349522	0.989413999655	0.990127389705	0.988109697924	0.997826465872	0.983777089856	0.97458936374	0.985429242523	0.990723501552	0.981267904475	0.943910504076	0.985917925476	0.971902009096	0.979499030399	0.99100935699	0.988852601693	0.980955304808	0.979476886111	0.99702448831	0.988538708145	0.976142485713	0.985458763057	0.934302773943	0.987255091059	0.959781440568	0.98934361165	0.996109760155	0.992508583371	0.985284981637	0.956275238258	0.988495000213	0.992000959329	0.982069914315	0.963958825786	0.973061472108	0.986373478923	0.983121932549	0.972069467729	0.98663890825	0.98314812422	0.994873626617	0.935732143516	0.981968888247	0.92119983087	0.990148415251	0.941986066607	0.976416736795	0.987611586026	0.996086248285	0.995171788893	0.988401176935	0.985856735857	0.988189959949	0.991625022139
CP2.24.water	0.989468389371	0.965896967228	0.957890581586	0.98430324325	0.959218637353	0.982498672082	0.959199712223	0.0	0.952892399071	0.982616856426	0.971421179687	0.960021855905	0.988914606777	0.978966987058	0.979022865852	0.987228259287	0.992445550339	0.962782395513	0.984296292575	0.929525671016	0.994123181566	0.992294575253	0.992980452157	0.951048639395	0.988068302821	0.985934528023	0.988713711063	0.985675971294	0.962794223222	0.991166677236	0.975390516885	0.967166458884	0.966553068915	0.976706402964	0.987148803038	0.996087046757	0.984314773993	0.997037922561	0.985055697503	0.970834936922	0.981581747377	0.938532941333	0.994503103511	0.989903483253	0.979786008221	0.988357317139	0.991397759858	0.99703780544	0.975745928597	0.979779393281	0.980727474502	0.988935469637	0.979249689589	0.968768471008	0.988383631432	0.962901072812	0.977543968691	0.987611470867	0.986381093256	0.980688891144	0.962745611749	0.98935377837	0.985393888836	0.967538645614	0.977930494924	0.95571938349	0.986431574654	0.971230859783	0.989246045687	0.9927849492	0.990726383563	0.98323412666	0.972785216031	0.984751597609	0.991170032627	0.976675870055	0.929809696853	0.949521319331	0.985404291276	0.984030409483	0.965477813326	0.987589343182	0.967583256658	0.996195838696	0.955851657124	0.984440808535	0.954695784029	0.98949974583	0.964759184029	0.978351113503	0.979807675518	0.996056899495	0.990151443964	0.988811481784	0.985467225419	0.980898621918	0.98245102201
CP.35.water	0.992578525641	0.943570247064	0.963067745353	0.989360768423	0.960380452584	0.988610391253	0.976178967539	0.952892399071	0.0	0.98146904103	0.970596645156	0.943917312198	0.993477583101	0.980792716171	0.983619958191	0.990230407437	0.99641501845	0.966318479985	0.981502439686	0.960674693398	0.993055555556	0.988820409455	0.989106015223	0.972362825064	0.994076479076	0.987930867333	0.987319951853	0.982140572386	0.957782678754	0.990431573678	0.975320210369	0.977148017741	0.977318607075	0.982325881205	0.981670146609	0.994705068174	0.980840948205	0.994238299278	0.990174220723	0.975328984368	0.978971490888	0.959124212424	0.996482009263	0.993376846565	0.990344421987	0.978925205848	0.988105314891	0.996970712779	0.981551309858	0.977356101742	0.98862763602	0.988104751033	0.973476148911	0.964414392215	0.987516529154	0.957378983621	0.971436328378	0.993995612316	0.98837694657	0.983953286578	0.970709996194	0.994738641596	0.981785231926	0.970160334481	0.987294300919	0.957438883474	0.985835401519	0.975297128592	0.986162885856	0.9947802651	0.991936645068	0.975977967237	0.961530373058	0.986241909673	0.988978076958	0.980240826095	0.956623596415	0.96478972402	0.982953887954	0.984439604304	0.966013403924	0.989816014372	0.963729640153	0.994572979149	0.965886499992	0.97976751032	0.965304818305	0.98569514826	0.974466899626	0.972960229355	0.977524611921	0.995009337538	0.990373536462	0.984864361258	0.982235341036	0.993313318165	0.982699025776
CP.14.sed.PM	0.972813261048	0.98196794845	0.982663041239	0.98065453707	0.980994797744	0.981597197932	0.981768288132	0.982616856426	0.98146904103	0.0	0.974978508653	0.978576212639	0.975948832516	0.984601974037	0.942132941249	0.982491088594	0.993403922	0.950094841232	0.9478548273	0.978393531996	0.990873438759	0.955788907477	0.956234274185	0.983368559685	0.976070614889	0.975702963911	0.952633124041	0.930049711485	0.981009768113	0.986817462592	0.962597438731	0.987292319336	0.97671913824	0.976140402	0.931662130893	0.968722659517	0.949943726664	0.987748332296	0.961077796568	0.985594957739	0.95469713807	0.982329381857	0.991086901902	0.986935686833	0.96502797844	0.970087805237	0.94941928834	0.989835232029	0.977118653172	0.976814574264	0.941850461415	0.958942005153	0.942284586497	0.978374757241	0.951571242735	0.977264026241	0.97372701475	0.981576187698	0.951032647049	0.981821832207	0.98112845077	0.97558823978	0.950606680597	0.964467086553	0.975922569684	0.982402947825	0.925484823637	0.97438459246	0.961720678727	0.981852057988	0.962627454275	0.970010220101	0.976652382634	0.95551804061	0.960383817025	0.950542230931	0.965114647321	0.974779983018	0.936330065499	0.962483626012	0.975694315785	0.977596474842	0.988426316136	0.985018981255	0.981815754452	0.951339951432	0.979982584219	0.94393504312	0.976477385672	0.971276213418	0.958725310155	0.990092250387	0.970573129906	0.959639329321	0.959185658466	0.984071104635	0.978360839291
