	CP.13.sed.PM	CP.39.water	CP2.42.water	CP.12.sed	CP.49.water	CP.7.sed	CP2.38.water	CP.35.water	CP.14.sed.PM	CP.45.water	CP.31.water	CP.3.water	CP2.42.sed	CP2.3.water.PM	CP.12.water	CP2.0.sand	CP.39.sed	CP2.28.sed	CP2.28.water	CP.42.water	CP.12.sed.PM	CP2.2.sed.PM	CP2.13.water	CP.3.sed	CP.5.water	CP2.34.water	CP.14.sed	CP2.24.water	CP2.0.intake	CP.47.sed	CP2.16.water	CP2.36.sed	CP.46.sed	CP.35.sed	CP.42.sed	CP2.2.water.PM	CP.0.sand	CP2.2.water	CP.53.sed	CP.13.water	CP2.31.water	CP2.0.sed	IW.0.water	CP.24.water	CP.31.sed	T.0.sed	CP2.0.water	CP.45.sed	CP2.38.sed	CP2.3.sed.PM	CP2.13.sed	CP.14.water.PM	CP.47.water	CP.21.sed	CP.24.sed	CP.48.sed	CP.5.sed	CP2.10.sed	CP2.35.sed	CP.27.water	CP.1.sed	CP2.5.sed	CP.16.water	CP.7.water	CP2.31.sed	CP2.3.water	CP.16.sed	CP.13.sed	CP.1.water	CP2.1.sed	T.0.water	CP.46.water	CP2.16.sed	CP2.2.sed	CP.48.water	CP2.20.water	CP.21.water	CP2.3.sed	CP2.5.water	CP.19.water	CP.10.water	CP.53.water	CP2.10.water	CP.0.sed	CP2.36.water	CP2.20.sed	CP2.37.water	CP.14.water	CP2.35.water	CP.49.sed	CP.13.water.PM	CP.0.water	CP.12.water.PM	CP.27.sed	CP.19.sed	CP.10.sed	CP2.8.water
CP.13.sed.PM	0.0	0.96711509716	0.961643835616	0.807692307692	0.960294117647	0.757425742574	0.951388888889	0.967320261438	0.91788856305	0.905808477237	0.954350927247	0.808333333333	0.906493506494	0.888111888112	0.890207715134	0.920335429769	0.94933655006	0.969696969697	0.945906432749	0.965087281796	0.946488294314	0.945676274945	0.957661290323	0.763020833333	0.815864022663	0.946850393701	0.898245614035	0.949105914718	0.934032983508	0.901515151515	0.965065502183	0.881469115192	0.879310344828	0.965721040189	0.96714848883	0.875251509054	0.848484848485	0.840517241379	0.938556067588	0.917543859649	0.9609375	0.890173410405	0.960784313725	0.920879120879	0.961165048544	0.966547192354	0.888429752066	0.890675241158	0.902290076336	0.881453154876	0.969298245614	0.930322580645	0.950509461426	0.944739638682	0.938802083333	0.877358490566	0.736434108527	0.953463203463	0.865808823529	0.95079787234	0.835748792271	0.927710843373	0.947129909366	0.831955922865	0.947109471095	0.906862745098	0.912797281993	0.929885057471	0.845208845209	0.890795631825	0.948945615982	0.940029985007	0.95027027027	0.872549019608	0.952045133992	0.948881789137	0.958689458689	0.941244239631	0.923250564334	0.947692307692	0.86684073107	0.966469428008	0.940265486726	0.829787234043	0.962466487936	0.967895362663	0.956862745098	0.944685466377	0.933621933622	0.922580645161	0.894568690096	0.843989769821	0.926470588235	0.951412429379	0.93659621802	0.785882352941	0.9525
CP.39.water	0.96711509716	0.0	0.882057716437	0.968493150685	0.864864864865	0.967479674797	0.867346938776	0.824203821656	0.927339901478	0.893333333333	0.831309041835	0.981884057971	0.928571428571	0.931698774081	0.965306122449	0.990654205607	0.897914379802	0.948663101604	0.879265091864	0.964083175803	0.955426356589	0.958693563881	0.925619834711	0.981574539363	0.975836431227	0.904918032787	0.929676511955	0.891223733004	0.974483596598	0.918032786885	0.921847246892	0.927903871829	0.940460081191	0.947807933194	0.963923337091	0.94512195122	0.983792544571	0.949921752739	0.915789473684	0.948106591865	0.886363636364	0.982783357245	0.96694214876	0.955992509363	0.946153846154	0.956066945607	0.984871406959	0.940797940798	0.940298507463	0.937869822485	0.963285024155	0.914221218962	0.880733944954	0.949626865672	0.888628370457	0.927848101266	0.97528830313	0.956356736243	0.951048951049	0.879708383961	0.976705490849	0.948612538541	0.900662251656	0.968518518519	0.933117583603	0.939153439153	0.947013487476	0.952755905512	0.981418918919	0.96568627451	0.93175074184	0.857142857143	0.948571428571	0.94328358209	0.889733840304	0.879603399433	0.893725992318	0.930894308943	0.939130434783	0.903355704698	0.965328467153	0.92996742671	0.91296625222	0.97754491018	0.896593673966	0.925965665236	0.890345649583	0.94465648855	0.89898989899	0.920847268673	0.924380704042	0.984375	0.967450271248	0.94005994006	0.952884615385	0.968203497615	0.950570342205
CP2.42.water	0.961643835616	0.882057716437	0.0	0.960709759189	0.828165374677	0.96	0.800251256281	0.896321070234	0.950782997763	0.908759124088	0.890606420927	0.977235772358	0.925773195876	0.964831804281	0.973166368515	0.98002853067	0.913793103448	0.94578313253	0.906175771971	0.978405315615	0.954337899543	0.96119133574	0.940915805022	0.986486486486	0.971713810316	0.889728096677	0.951898734177	0.894495412844	0.961231470924	0.934331797235	0.945226917058	0.927250308261	0.958333333333	0.951219512195	0.967539267016	0.96169630643	0.979411764706	0.963483146067	0.936754176611	0.951219512195	0.879910213244	0.970822281167	0.964835164835	0.95859030837	0.961607142857	0.964007782101	0.982068965517	0.954171562867	0.935110081112	0.951935914553	0.962693357598	0.933678756477	0.85447761194	0.956255468066	0.915598290598	0.929742388759	0.970104633782	0.968169761273	0.95923566879	0.926167209555	0.977511244378	0.962892483349	0.912727272727	0.958263772955	0.937625754527	0.958033573141	0.960573476703	0.952777777778	0.981762917933	0.969457013575	0.939926062847	0.861982434128	0.953529937444	0.966666666667	0.847188264059	0.905612244898	0.923699421965	0.946327683616	0.958461538462	0.921951219512	0.95894909688	0.930576070901	0.94401244168	0.978201634877	0.844602609727	0.934131736527	0.807646356033	0.954545454545	0.846437346437	0.921875	0.948113207547	0.976452119309	0.972624798712	0.963235294118	0.957619477006	0.960812772134	0.959663865546
CP.12.sed	0.807692307692	0.968493150685	0.960709759189	0.0	0.953741496599	0.781857451404	0.955242966752	0.960975609756	0.944591029024	0.904761904762	0.955321944809	0.858139534884	0.871410736579	0.913306451613	0.884910485934	0.896749521989	0.957541899441	0.984409799555	0.948993288591	0.958515283843	0.961855670103	0.973657548126	0.960502692998	0.822368421053	0.843373493976	0.939609236234	0.936825885978	0.946428571429	0.945429740791	0.915977961433	0.969230769231	0.890909090909	0.880503144654	0.977074235808	0.981992797119	0.893048128342	0.872210953347	0.90310786106	0.922746781116	0.910112359551	0.961352657005	0.87676056338	0.962580645161	0.936863543788	0.985148514851	0.985776805252	0.892988929889	0.892488954345	0.895332390382	0.925249169435	0.986855409505	0.935483870968	0.951807228916	0.961614173228	0.93567961165	0.876989869754	0.786343612335	0.98017839445	0.858823529412	0.954545454545	0.880658436214	0.952695269527	0.930985915493	0.840095465394	0.960362400906	0.945165945166	0.925341745531	0.943617021277	0.889352818372	0.908192090395	0.968302658487	0.939310344828	0.975198412698	0.916666666667	0.94495412844	0.959537572254	0.955204216074	0.955271565495	0.928429423459	0.944837340877	0.835680751174	0.957295373665	0.951550387597	0.872928176796	0.960199004975	0.979143798024	0.949938949939	0.966033966034	0.934840425532	0.916666666667	0.915107913669	0.89224137931	0.938428874735	0.973029045643	0.956967213115	0.7805907173	0.956616052061
CP.49.water	0.960294117647	0.864864864865	0.828165374677	0.953741496599	0.0	0.953376205788	0.839537869063	0.879474940334	0.942789034565	0.853658536585	0.867779204108	0.980599647266	0.926327193933	0.947899159664	0.956087824351	0.975308641975	0.922914466737	0.967975206612	0.897338403042	0.959409594096	0.971804511278	0.970037453184	0.897350993377	0.973684210526	0.965328467153	0.9056	0.938524590164	0.896009673519	0.963855421687	0.895069532238	0.927710843373	0.920948616601	0.923180592992	0.957230142566	0.979257641921	0.944858420268	0.976114649682	0.951145038168	0.897637795276	0.939058171745	0.905202312139	0.970170454545	0.9723183391	0.958563535912	0.956848030019	0.967413441955	0.976154992548	0.941992433796	0.90404040404	0.952924393723	0.965811965812	0.922907488987	0.784916201117	0.958979033728	0.888119953864	0.887886597938	0.960912052117	0.971428571429	0.943448275862	0.892561983471	0.972312703583	0.957873620863	0.889763779528	0.958181818182	0.949843260188	0.948586118252	0.959662288931	0.963531669866	0.978547854785	0.966346153846	0.939012584705	0.812760055479	0.955223880597	0.955266955267	0.764542936288	0.891483516484	0.860103626943	0.952941176471	0.920689655172	0.883378016086	0.947653429603	0.876460767947	0.904013961606	0.979562043796	0.867484662577	0.946113989637	0.861778846154	0.95530726257	0.877370417193	0.898096304591	0.934093789607	0.976149914821	0.962897526502	0.972328244275	0.958529688973	0.952755905512	0.936329588015
CP.7.sed	0.757425742574	0.967479674797	0.96	0.781857451404	0.953376205788	0.0	0.955156950673	0.970546984572	0.93769470405	0.91722972973	0.952012383901	0.785016286645	0.906815020862	0.874331550802	0.843636363636	0.927570093458	0.96835443038	0.991105463787	0.949447077409	0.962427745665	0.97816091954	0.978310502283	0.954648526077	0.78901734104	0.751724137931	0.923595505618	0.912547528517	0.944858420268	0.936688311688	0.920967741935	0.970443349754	0.879562043796	0.86641221374	0.983870967742	0.991712707182	0.867117117117	0.876923076923	0.86320754717	0.946932006633	0.895669291339	0.963687150838	0.891257995736	0.963746223565	0.952488687783	0.989977728285	0.992528019925	0.899543378995	0.893542757417	0.904132231405	0.893305439331	0.992018244014	0.938186813187	0.942766295707	0.97032967033	0.935483870968	0.871355060034	0.71130952381	0.986651835373	0.857433808554	0.948350071736	0.832876712329	0.9575	0.943986820428	0.769230769231	0.967741935484	0.933913043478	0.945157526254	0.95584725537	0.833802816901	0.915562913907	0.967555040556	0.934533551555	0.979933110368	0.900423728814	0.949541284404	0.956672443674	0.963133640553	0.962740384615	0.900783289817	0.940978077572	0.815047021944	0.975929978118	0.93984962406	0.899777282851	0.956395348837	0.977329974811	0.954929577465	0.975418994413	0.924409448819	0.932876712329	0.918367346939	0.862068965517	0.941828254848	0.981308411215	0.958333333333	0.722222222222	0.938596491228
CP2.38.water	0.951388888889	0.867346938776	0.800251256281	0.955242966752	0.839537869063	0.955156950673	0.0	0.893497757848	0.941109852775	0.888059701493	0.875453446191	0.965289256198	0.917708333333	0.940251572327	0.954212454212	0.974063400576	0.906857727738	0.945619335347	0.875	0.966216216216	0.960873521383	0.960144927536	0.923076923077	0.970903522205	0.957627118644	0.872110939908	0.938223938224	0.865407319953	0.968181818182	0.911452184179	0.934920634921	0.914893617021	0.94125	0.951076320939	0.96743697479	0.954356846473	0.976296296296	0.963328631876	0.939068100358	0.941482444733	0.861556064073	0.966577540107	0.978237214363	0.951067615658	0.954012623986	0.960861056751	0.977746870654	0.946555819477	0.910820451843	0.944669365722	0.971040723982	0.933471933472	0.832061068702	0.949691085613	0.896401308615	0.919335705813	0.954268292683	0.957923008057	0.942857142857	0.903225806452	0.969650986343	0.949758454106	0.912408759124	0.945670628183	0.930964467005	0.942612942613	0.957657657658	0.952646239554	0.976993865031	0.969353007946	0.936802973978	0.841025641026	0.951526032316	0.953929539295	0.833746898263	0.891050583658	0.893921334923	0.941176470588	0.933544303797	0.915024630542	0.944816053512	0.92867756315	0.925278219396	0.969655172414	0.828709288299	0.945544554455	0.802647412756	0.956289027654	0.845869297164	0.905620360551	0.941666666667	0.973101265823	0.959016393443	0.96408839779	0.950864422202	0.9560761347	0.947008547009
CP.35.water	0.967320261438	0.824203821656	0.896321070234	0.960975609756	0.879474940334	0.970546984572	0.893497757848	0.0	0.943355119826	0.897983392645	0.830303030303	0.983076923077	0.936633663366	0.960410557185	0.972881355932	0.985054347826	0.91437007874	0.961612284069	0.885380116959	0.9648	0.963908450704	0.962280701754	0.925394548063	0.981268011527	0.977987421384	0.943526170799	0.947368421053	0.860411899314	0.970524017467	0.914965986395	0.923780487805	0.924910607867	0.941176470588	0.946717411989	0.965447154472	0.953703703704	0.983193277311	0.955223880597	0.911556603774	0.945341614907	0.866886688669	0.979797979798	0.979035639413	0.95254529767	0.93588601959	0.958214624881	0.985507246377	0.941446613088	0.924208144796	0.960559796438	0.958222222222	0.939	0.873522458629	0.948497854077	0.882604055496	0.922551252847	0.972934472934	0.959201388889	0.954433497537	0.869324473976	0.982905982906	0.942507068803	0.896674584323	0.960380348653	0.934378060725	0.944964871194	0.954385964912	0.949412827462	0.982608695652	0.973884657236	0.925250683683	0.890070921986	0.943810359965	0.958709677419	0.884439359268	0.870558375635	0.906923950057	0.9478976234	0.94962962963	0.90692124105	0.964230171073	0.916905444126	0.932432432432	0.983094928479	0.904139433551	0.947368421053	0.89721627409	0.955805892548	0.908988764045	0.912334352701	0.942791762014	0.986666666667	0.962848297214	0.952122854562	0.953303964758	0.961111111111	0.960063897764
CP.14.sed.PM	0.91788856305	0.927339901478	0.950782997763	0.944591029024	0.942789034565	0.93769470405	0.941109852775	0.943355119826	0.0	0.922604422604	0.924617196702	0.940869565217	0.935416666667	0.871134020619	0.960600375235	0.980938416422	0.871106337272	0.866886688669	0.931198102017	0.977663230241	0.876123876124	0.873505976096	0.939117199391	0.938411669368	0.9378330373	0.926426426426	0.825581395349	0.928490351873	0.959112149533	0.912259615385	0.958598726115	0.926767676768	0.920676202861	0.858225108225	0.908474576271	0.875190258752	0.975683890578	0.876369327074	0.946795646917	0.912687585266	0.933478735005	0.962962962963	0.953461975028	0.909943714822	0.911428571429	0.866594360087	0.963924963925	0.937728937729	0.938606847698	0.844410876133	0.897637795276	0.842889908257	0.936245572609	0.882857142857	0.92316017316	0.926770708283	0.9296	0.894990366089	0.93449197861	0.939824945295	0.947535771065	0.864118895966	0.913258983891	0.934744268078	0.873913043478	0.838577291382	0.866799204771	0.903257650543	0.951612903226	0.893167701863	0.903696498054	0.930036188179	0.884689922481	0.868065967016	0.93908045977	0.920103092784	0.930751173709	0.834570519618	0.901337792642	0.918648310388	0.946826758148	0.953937592868	0.923202614379	0.945086705202	0.935267857143	0.859630032644	0.940411700975	0.850448654038	0.933874709977	0.913276231263	0.870466321244	0.957095709571	0.936316695353	0.892	0.88954056696	0.942249240122	0.93982300885
CP.45.water	0.905808477237	0.893333333333	0.908759124088	0.904761904762	0.853658536585	0.91722972973	0.888059701493	0.897983392645	0.922604422604	0.0	0.879177377892	0.91395793499	0.897752808989	0.90780141844	0.940082644628	0.956937799043	0.925531914894	0.969791666667	0.910012674271	0.952741020794	0.956689124158	0.965844402277	0.940226171244	0.909413854352	0.916342412451	0.900489396411	0.913597733711	0.909420289855	0.942786069652	0.846461949266	0.948542024014	0.888736263736	0.84140969163	0.966360856269	0.972222222222	0.89905362776	0.951986754967	0.897394136808	0.902116402116	0.92	0.910465116279	0.939169139466	0.965962441315	0.954291044776	0.9534662868	0.969199178645	0.920255183413	0.865937072503	0.891472868217	0.904689863843	0.967464114833	0.926829268293	0.848728246319	0.949907235622	0.908466819222	0.861148197597	0.905923344948	0.96828358209	0.899563318777	0.913348946136	0.910526315789	0.95	0.925449871465	0.913127413127	0.939232409382	0.929801324503	0.947318007663	0.954056695992	0.914438502674	0.941469489415	0.936336924584	0.83950617284	0.9557855127	0.901538461538	0.854545454545	0.908219178082	0.920595533499	0.949354518371	0.930555555556	0.921363040629	0.936920222635	0.923701298701	0.939965694683	0.946483180428	0.898673100121	0.967179487179	0.88981042654	0.956848030019	0.891414141414	0.876585928489	0.91796875	0.911602209945	0.96036036036	0.965082444229	0.95813510942	0.919141914191	0.96282527881
