	CP.13.sed.PM	CP.39.water	CP2.42.water	CP.12.sed	CP.49.water	CP.7.sed	CP2.38.water	CP.35.water	CP.14.sed.PM	CP.45.water	CP.31.water	CP.3.water	CP2.42.sed	CP2.3.water.PM	CP.12.water	CP2.0.sand	CP.39.sed	CP2.28.sed	CP2.28.water	CP.42.water	CP.12.sed.PM	CP2.2.sed.PM	CP2.13.water	CP.3.sed	CP.5.water	CP2.34.water	CP.14.sed	CP2.24.water	CP2.0.intake	CP.47.sed	CP2.16.water	CP2.36.sed	CP.46.sed	CP.35.sed	CP.42.sed	CP2.2.water.PM	CP.0.sand	CP2.2.water	CP.53.sed	CP.13.water	CP2.31.water	CP2.0.sed	IW.0.water	CP.24.water	CP.31.sed	T.0.sed	CP2.0.water	CP.45.sed	CP2.38.sed	CP2.3.sed.PM	CP2.13.sed	CP.14.water.PM	CP.47.water	CP.21.sed	CP.24.sed	CP.48.sed	CP.5.sed	CP2.10.sed	CP2.35.sed	CP.27.water	CP.1.sed	CP2.5.sed	CP.16.water	CP.7.water	CP2.31.sed	CP2.3.water	CP.16.sed	CP.13.sed	CP.1.water	CP2.1.sed	T.0.water	CP.46.water	CP2.16.sed	CP2.2.sed	CP.48.water	CP2.20.water	CP.21.water	CP2.3.sed	CP2.5.water	CP.19.water	CP.10.water	CP.53.water	CP2.10.water	CP.0.sed	CP2.36.water	CP2.20.sed	CP2.37.water	CP.14.water	CP2.35.water	CP.49.sed	CP.13.water.PM	CP.0.water	CP.12.water.PM	CP.27.sed	CP.19.sed	CP.10.sed	CP2.8.water
CP.13.sed.PM	0.0	0.836285333903	0.801260042664	0.622821090138	0.818987473837	0.632289811811	0.833156497691	0.833405969085	0.753208205045	0.74104088379	0.822346570257	0.680116523405	0.715113027584	0.774441978683	0.785919760872	0.748843051668	0.810753793879	0.81054364051	0.812952737953	0.846886032199	0.786622205357	0.808603817041	0.823597522345	0.637855804607	0.677992832075	0.753193752969	0.712512567113	0.820053036106	0.796777493823	0.717536372811	0.829755457926	0.684840318195	0.666477519973	0.80635963657	0.814044757963	0.726858755715	0.662488266304	0.72529587166	0.723704466529	0.756787458271	0.823325289847	0.695039712177	0.792233264213	0.772747567243	0.830509563707	0.794499512756	0.757063608429	0.711046823978	0.706466878799	0.737927185699	0.820711993295	0.765719030211	0.796657436925	0.791199786534	0.810974194572	0.693036266745	0.592669646081	0.803721910764	0.681867591585	0.821891500244	0.696726509714	0.79228497834	0.795114819779	0.686531935286	0.792205611704	0.751180734244	0.770426415732	0.776391137938	0.720138797469	0.70974792119	0.797535596357	0.787246860614	0.811194363189	0.720742061333	0.823044942169	0.808941297562	0.805765671317	0.788725865627	0.784215126391	0.801063601632	0.735644743645	0.817796459335	0.813080761891	0.659174387948	0.807141506327	0.805385104031	0.815686605235	0.798591179587	0.765836230276	0.73899935022	0.72900888791	0.746072911383	0.758563302959	0.810034479549	0.800059943387	0.634926203885	0.802115471429
CP.39.water	0.836285333903	0.0	0.701812577894	0.823589817319	0.688250115752	0.845914344937	0.714744879613	0.633434379985	0.78840101031	0.745471597913	0.650851902105	0.860725459161	0.802254133727	0.815843749311	0.834500761882	0.886189959241	0.736816679656	0.78761201953	0.684934951936	0.802112109772	0.824512884264	0.842508519679	0.751064148959	0.87477266013	0.867352712541	0.746949897824	0.78754427019	0.685899629822	0.824929708864	0.769615654896	0.769907479392	0.790716012374	0.785511122829	0.794940757038	0.855309615567	0.808556814286	0.876965999403	0.826820968796	0.768060623417	0.7689466314	0.680966165776	0.866048208714	0.803648046722	0.826444913304	0.805194998184	0.807985691567	0.875473700464	0.800850855378	0.791928897188	0.793557271055	0.847623212828	0.761551988752	0.707755955894	0.809666127493	0.719443001081	0.78384857	0.853597133181	0.833522809125	0.812244137833	0.722108557838	0.853148943171	0.813380280888	0.727938833531	0.838100199651	0.776068893782	0.790490376823	0.821396201827	0.814393217849	0.87147537479	0.84748320993	0.759457354421	0.711005625829	0.820445547802	0.806929593156	0.68897901374	0.691894265857	0.720609017716	0.796750784462	0.791971070938	0.7438061751	0.852828338531	0.734559363955	0.764562477537	0.843217681944	0.693935381076	0.780046364056	0.692604929703	0.827743960734	0.712637873725	0.766032679523	0.781896027056	0.875406168443	0.838490262396	0.817557799654	0.827680917629	0.822607634494	0.785013935077
CP2.42.water	0.801260042664	0.701812577894	0.0	0.787402357008	0.684996959191	0.834428101216	0.647170387007	0.688959099257	0.779162641841	0.698419321472	0.705634530167	0.868076332926	0.759773180949	0.840762832661	0.845571041746	0.866052643401	0.710755868025	0.763765872316	0.675074327961	0.809407848811	0.783607636131	0.802733665101	0.766471418736	0.861504440472	0.862440652416	0.708510917648	0.776164857684	0.697177113963	0.785063349815	0.753436828864	0.76651598458	0.752835726373	0.773536591719	0.748592130277	0.823039140006	0.806609159447	0.854355361206	0.815386316062	0.7368469158	0.756103048831	0.662949732163	0.841068155132	0.777008766932	0.78166439451	0.77821425114	0.784409060076	0.859485318095	0.787788542034	0.750386671436	0.787803568541	0.787894914187	0.73893081617	0.665676271156	0.777677646202	0.723495569628	0.753060058738	0.844818225001	0.809147970566	0.792001038134	0.721245569382	0.841883308375	0.784157342534	0.716873659768	0.84101887451	0.740350000045	0.762450782787	0.778140499284	0.777672147216	0.855229609875	0.804844149951	0.746664885892	0.682096582339	0.783589975087	0.79932137408	0.651412840069	0.697538599937	0.720400588652	0.773242305393	0.807537280898	0.735903483474	0.832520128496	0.746608822775	0.791253323851	0.810630752407	0.636728056102	0.747183460123	0.618670047845	0.785600777663	0.642840638853	0.722759689701	0.753280924736	0.869608784759	0.832324754494	0.787630684582	0.785139923507	0.820640943681	0.786612558573
CP.12.sed	0.622821090138	0.823589817319	0.787402357008	0.0	0.78992069426	0.611423627132	0.783350398254	0.817641388114	0.801376511354	0.727370294494	0.81323098517	0.736228098319	0.662394854025	0.788703830861	0.750604713591	0.744707342218	0.810122240546	0.831365446407	0.79317999973	0.83474159348	0.814301877429	0.843199193379	0.816735483149	0.668450827092	0.719650975823	0.765797377383	0.772693139604	0.813773669935	0.793004812199	0.684233242853	0.829230766132	0.664018297962	0.667871963861	0.82824589568	0.840819031607	0.745854628912	0.675294725493	0.764832519958	0.699980080556	0.754702080595	0.813921106148	0.700339924678	0.780993310079	0.780277579907	0.852196997337	0.825007391363	0.767775296745	0.70266233359	0.663399097534	0.762002700962	0.852617713295	0.769999269907	0.763823036907	0.802681787293	0.792514629582	0.654233435162	0.626451012755	0.844593662969	0.655165345808	0.799430866282	0.719536275367	0.820528337421	0.785364810423	0.694695787284	0.813824615397	0.794674841216	0.787043345322	0.787345966452	0.757101130839	0.753154778052	0.811876870001	0.761333714089	0.826827223497	0.773757588962	0.812273311737	0.790902439722	0.789640647508	0.819851315788	0.816250690105	0.787959838636	0.692835436702	0.793104445594	0.816980088404	0.7273608995	0.773604153362	0.825943689226	0.801932984597	0.834386486886	0.746245382126	0.716811820814	0.764386738488	0.789501371121	0.803661963224	0.829922587725	0.822894360007	0.576985537991	0.828586307561
CP.49.water	0.818987473837	0.688250115752	0.684996959191	0.78992069426	0.0	0.794895152106	0.664142997907	0.708893717717	0.804076717476	0.711835717803	0.704635275688	0.834141657079	0.795735564871	0.796504649395	0.808350896268	0.865770370401	0.772892063511	0.815656029181	0.712381046112	0.805811997864	0.825562363397	0.842168338337	0.697932832894	0.846607026525	0.836513288089	0.740331922384	0.77678009321	0.705075691855	0.802946819628	0.72471757932	0.749977686336	0.77354538482	0.780778734254	0.812293485496	0.853971459625	0.769903278369	0.844116618718	0.787444898241	0.751873324637	0.749355527696	0.74359512371	0.84360211759	0.802153149082	0.832333440456	0.835416696573	0.835911109919	0.852301033319	0.799620721635	0.75861645548	0.777259679332	0.8428795379	0.775359505579	0.639186462265	0.826432245489	0.745490953288	0.754239026766	0.8191168044	0.846147802408	0.782799848878	0.744579295846	0.833103963832	0.813604846268	0.713437413608	0.78627772355	0.821019636728	0.78172031978	0.827930464999	0.821966765024	0.835266948991	0.849580194229	0.769083731262	0.656368780233	0.839088466668	0.799918931427	0.548330497495	0.686724556904	0.688626242369	0.790912254748	0.74308005248	0.703356864359	0.801931860751	0.687828887423	0.735364364645	0.836457343439	0.685128597773	0.804232638207	0.672145678528	0.818675001491	0.682818355691	0.732896901876	0.761430048057	0.847048685087	0.821766097116	0.834235382855	0.813841409071	0.791511528019	0.770914886938
CP.7.sed	0.632289811811	0.845914344937	0.834428101216	0.611423627132	0.794895152106	0.0	0.829433342322	0.856727472708	0.818079295248	0.772354143363	0.827441062824	0.628100425933	0.744416770438	0.733891604324	0.662476433502	0.737008592902	0.848825925377	0.86362388266	0.826987395778	0.834705199174	0.847962605429	0.865442891373	0.800724971099	0.572382851841	0.602218200323	0.749419215125	0.776246910383	0.829295795038	0.818637431292	0.724872154476	0.810160450501	0.721814914574	0.681427319116	0.867912402056	0.884450037907	0.735988835226	0.661551394589	0.750585513584	0.777953183652	0.767868809835	0.832970058838	0.684367081832	0.83081138902	0.840918258391	0.876160259609	0.871164418126	0.727531273255	0.706805651983	0.722442795721	0.75693935521	0.884064222877	0.805014462028	0.795694644933	0.865334365862	0.818032178742	0.699573726821	0.535236056215	0.872909417642	0.672757990074	0.84329969714	0.676782395791	0.84176386414	0.796381585409	0.624170786157	0.863180735188	0.801851884185	0.828036579981	0.824349022459	0.691659013602	0.76654155759	0.847928583887	0.780498834806	0.863369398249	0.780897332731	0.820369414226	0.808339371033	0.81690406919	0.845169043842	0.779600132406	0.806264975974	0.630049036922	0.82505546692	0.795731055186	0.744086794514	0.815016000134	0.861614410195	0.841014588599	0.868013985991	0.792311755987	0.751568871035	0.778696387308	0.737101581943	0.786891601804	0.869730724542	0.855237025373	0.550701200516	0.800971081858
CP2.38.water	0.833156497691	0.714744879613	0.647170387007	0.783350398254	0.664142997907	0.829433342322	0.0	0.718916057878	0.782051609826	0.717480383917	0.718508948477	0.866061717169	0.772220950589	0.809343012189	0.836923023951	0.864986223564	0.713458061214	0.785100953293	0.677881900626	0.829199380741	0.803841595149	0.832576248607	0.742219719497	0.871722138595	0.865791617871	0.729743787987	0.789620452805	0.676379974151	0.786114060301	0.740490963805	0.752659127429	0.760404629664	0.785020796015	0.780461868668	0.830905997837	0.797584164613	0.85985694986	0.805222888748	0.749699331863	0.766490301219	0.673487376355	0.834755771349	0.794296952804	0.797394043119	0.808478475079	0.808354777398	0.867101500633	0.8078769423	0.763406315901	0.781499553493	0.816551394898	0.764482951592	0.646487290905	0.801518066847	0.744303889772	0.753937686795	0.85964220443	0.825254729941	0.800941867143	0.725691728571	0.845770268559	0.806665219523	0.739166384776	0.83469845409	0.782064627064	0.779446747404	0.815820025754	0.802198045427	0.87075593642	0.839939765463	0.76867555557	0.660165664203	0.800925468433	0.802764416731	0.651256855894	0.7156181888	0.717999427255	0.787736021945	0.819439458744	0.727472208793	0.825370099535	0.741030066241	0.782793380554	0.843847911594	0.62829307	0.772881784966	0.632409493347	0.812495925395	0.684755333545	0.733704982987	0.765116930444	0.871389573482	0.843507277327	0.809796374624	0.806136002818	0.82497261162	0.807925710204
CP.35.water	0.833405969085	0.633434379985	0.688959099257	0.817641388114	0.708893717717	0.856727472708	0.718916057878	0.0	0.771566432696	0.690721115171	0.60912694975	0.864264834066	0.773300819865	0.803811813305	0.856695807334	0.876334897209	0.726696785915	0.76617013016	0.664282004457	0.800767473477	0.787232008771	0.800020874791	0.733772650643	0.872789120162	0.871320848859	0.771561013054	0.765607842546	0.663882104053	0.771259984168	0.742301922649	0.762040875598	0.759698106303	0.781823944906	0.78036527491	0.835450334556	0.815212451081	0.874809088753	0.802929453019	0.737821465903	0.754025715511	0.636717359495	0.867362634889	0.7780990389	0.777745001402	0.764348173691	0.790365239453	0.876248674258	0.771740581784	0.772653244954	0.778022195529	0.790959577314	0.717933953446	0.659046466796	0.776183437085	0.667219849549	0.759730177735	0.863863560653	0.797998290238	0.798936279904	0.660051315678	0.859293712875	0.767677126908	0.715104925386	0.853537187627	0.751780659338	0.761164793508	0.776502359738	0.777405445781	0.869291730945	0.825637440132	0.719132262359	0.722939391063	0.778302648348	0.789964502562	0.693382521089	0.683842514916	0.684708369433	0.773434170089	0.793188387008	0.692939947628	0.83870836315	0.731541625807	0.748258975911	0.824413880353	0.690826449246	0.761389591114	0.66926245979	0.787037073175	0.685835355891	0.734099442267	0.734251613229	0.885155720358	0.841828276676	0.780777755452	0.774995858086	0.839463818245	0.795558570876
CP.14.sed.PM	0.753208205045	0.78840101031	0.779162641841	0.801376511354	0.804076717476	0.818079295248	0.782051609826	0.771566432696	0.0	0.759056575558	0.760706686062	0.82953823401	0.791289459546	0.755193911499	0.828800939008	0.848276184859	0.692449384218	0.688604848681	0.763422755113	0.836588251769	0.696735943821	0.715600794605	0.801319255704	0.84277542274	0.850770782046	0.773141303382	0.673234558165	0.770769301825	0.778933407194	0.7462686366	0.81536859657	0.770589255806	0.773314069055	0.687528020282	0.735527249708	0.741867933576	0.834761949152	0.721641238039	0.794061519738	0.715090655476	0.762781219399	0.80642053681	0.759441703276	0.733139545777	0.733542155143	0.69648485066	0.848439255314	0.773161598478	0.768516877429	0.690049396734	0.716741167891	0.650143035504	0.765792823235	0.700946668729	0.774026798183	0.759562687289	0.832745861254	0.689516832166	0.798577672462	0.7803090752	0.807371252402	0.692972594997	0.737498243036	0.838582905922	0.678339658978	0.645406615683	0.688446099297	0.685683660341	0.850082564348	0.702502332463	0.704536385188	0.784755931094	0.716134937238	0.69648388743	0.783748314667	0.764442488151	0.755699015342	0.648191885052	0.770142892041	0.739540027476	0.833053208107	0.788663195311	0.780265975015	0.788808547728	0.760427919635	0.680483596863	0.772452538622	0.662694590552	0.753792811222	0.752128836263	0.716749590819	0.862313289111	0.755657900567	0.692736541554	0.707657474193	0.814217654982	0.804445429523
CP.45.water	0.74104088379	0.745471597913	0.698419321472	0.727370294494	0.711835717803	0.772354143363	0.717480383917	0.690721115171	0.759056575558	0.0	0.724542126435	0.784096919428	0.73190248667	0.776397191431	0.817526496603	0.827002097677	0.754224688993	0.793552244145	0.708926336403	0.834001439577	0.796257050195	0.802341830062	0.764151425757	0.774793735069	0.816906949838	0.702111945898	0.737544368538	0.736654445709	0.772419877197	0.653707164341	0.779905905114	0.694704394918	0.687441512749	0.791802228973	0.820448232529	0.733393966459	0.793240879809	0.762486013205	0.695597404707	0.729273216622	0.71936194252	0.7949732712	0.751186877177	0.779268644545	0.778494279508	0.812327990637	0.804959737795	0.698925651678	0.696556801187	0.74521178322	0.805383851165	0.743682935334	0.643443925862	0.779182375933	0.720667615684	0.671297841529	0.779071025383	0.814234999082	0.716318274909	0.747983651358	0.756361245241	0.774691653942	0.73439045697	0.77103557882	0.756288037286	0.757969922265	0.780813134702	0.774900644604	0.788051759693	0.779134185666	0.755081024995	0.66602524253	0.794390318938	0.737513972103	0.68504593161	0.711271142306	0.716601599077	0.780270175513	0.773141591629	0.717361571497	0.792861387067	0.739143982142	0.767682638095	0.773672879441	0.700061955217	0.777100964081	0.685710619081	0.7973499445	0.699466596435	0.687549903465	0.724105802893	0.822493306236	0.801062347431	0.794731163528	0.788440856757	0.769599575438	0.790924090881
