	CP.13.sed.PM	CP.39.water	CP2.42.water	CP.12.sed	CP.49.water	CP.7.sed	CP2.38.water	CP.35.water	CP.14.sed.PM	CP.45.water	CP.31.water	CP.3.water	CP2.42.sed	CP2.3.water.PM	CP.12.water	CP2.0.sand	CP.39.sed	CP2.28.sed	CP2.28.water	CP.42.water	CP.12.sed.PM	CP2.2.sed.PM	CP2.13.water	CP.3.sed	CP.5.water	CP2.34.water	CP.14.sed	CP2.24.water	CP2.0.intake	CP.47.sed	CP2.16.water	CP2.36.sed	CP.46.sed	CP.35.sed	CP.42.sed	CP2.2.water.PM	CP.0.sand	CP2.2.water	CP.53.sed	CP.13.water	CP2.31.water	CP2.0.sed	IW.0.water	CP.24.water	CP.31.sed	T.0.sed	CP2.0.water	CP.45.sed	CP2.38.sed	CP2.3.sed.PM	CP2.13.sed	CP.14.water.PM	CP.47.water	CP.21.sed	CP.24.sed	CP.48.sed	CP.5.sed	CP2.10.sed	CP2.35.sed	CP.27.water	CP.1.sed	CP2.5.sed	CP.16.water	CP.7.water	CP2.31.sed	CP2.3.water	CP.16.sed	CP.13.sed	CP.1.water	CP2.1.sed	T.0.water	CP.46.water	CP2.16.sed	CP2.2.sed	CP.48.water	CP2.20.water	CP.21.water	CP2.3.sed	CP2.5.water	CP.19.water	CP.10.water	CP.53.water	CP2.10.water	CP.0.sed	CP2.36.water	CP2.20.sed	CP2.37.water	CP.14.water	CP2.35.water	CP.49.sed	CP.13.water.PM	CP.0.water	CP.12.water.PM	CP.27.sed	CP.19.sed	CP.10.sed	CP2.8.water
CP.13.sed.PM	0.0	0.41708367	0.43851487	0.20905089	0.41900431	0.23186688	0.44840408	0.42035751	0.34665341	0.33588717	0.43705923	0.27229678	0.34372015	0.39333104	0.67045944	0.49836954	0.39277921	0.4423766	0.39491327	0.5294863	0.4102357	0.39208946	0.45898063	0.24632802	0.30585299	0.59456871	0.36631818	0.42705206	0.48498377	0.34049107	0.45285369	0.41033328	0.29794833	0.41684788	0.41898081	0.29140591	0.37256334	0.28560683	0.38908216	0.40637709	0.41606373	0.39986901	0.42461874	0.41713113	0.43056771	0.43467952	0.46590126	0.29456981	0.34968438	0.2884149	0.41164504	0.39410328	0.43064298	0.40190676	0.38598537	0.31880745	0.19423581	0.41254091	0.39168291	0.36689536	0.33688775	0.3543614	0.38342736	0.37021488	0.367221	0.38572625	0.35085717	0.39133146	0.34399335	0.31882029	0.39452311	0.45189367	0.41205521	0.27406985	0.42465314	0.42111973	0.39491027	0.38617534	0.48636747	0.37187098	0.53854451	0.39060212	0.43712738	0.41188118	0.40586985	0.4167764	0.44291851	0.42227214	0.51906016	0.40169036	0.30572064	0.35909261	0.80294478	0.40273325	0.41683666	0.28009608	0.53228853
CP.39.water	0.41708367	0.0	0.34783028	0.40353434	0.348925	0.39735983	0.37961781	0.26612548	0.3725349	0.33783644	0.29639518	0.42217739	0.41437002	0.42360077	0.74710757	0.59074657	0.3475594	0.44876895	0.20397498	0.65190665	0.46685037	0.41827393	0.44220826	0.41029431	0.42778718	0.54339992	0.41962575	0.29981385	0.4893675	0.35817022	0.4457748	0.42379719	0.36211258	0.43926923	0.54607836	0.34896774	0.54969997	0.3617572	0.47470989	0.40175338	0.28619808	0.5496584	0.44906737	0.43205288	0.40909176	0.44467235	0.57807329	0.4121266	0.40844435	0.35934811	0.40933139	0.38443589	0.36434591	0.41797859	0.31881906	0.37832066	0.40925906	0.42308912	0.42973824	0.31780573	0.45218774	0.37290789	0.35186785	0.47676147	0.34723437	0.42903572	0.39422672	0.40113313	0.4540478	0.4225213	0.35773316	0.41605196	0.41142834	0.36616088	0.35628631	0.30051758	0.30504536	0.39626929	0.52912584	0.31081653	0.60992862	0.43813553	0.45464519	0.55281545	0.27404544	0.42304693	0.333984	0.41742769	0.44669409	0.41218059	0.40377173	0.51491098	0.83863519	0.46139664	0.42387171	0.42511955	0.55918416
CP2.42.water	0.43851487	0.34783028	0.0	0.41002912	0.28165506	0.45856185	0.25316831	0.32101632	0.37383902	0.32325878	0.39657554	0.46263771	0.35675048	0.48343269	0.71390851	0.56642111	0.32247098	0.36115075	0.3637994	0.64702889	0.41091091	0.38522725	0.42684324	0.47019813	0.47619646	0.59123708	0.41503995	0.33148993	0.47202324	0.38921192	0.43650954	0.49098925	0.4002592	0.35736037	0.50998986	0.42397104	0.52603285	0.42559448	0.44252889	0.49623062	0.3091714	0.52358972	0.40740933	0.3951933	0.38972458	0.38932669	0.56525667	0.40173692	0.36402201	0.41649049	0.36332055	0.37842883	0.31701231	0.38385937	0.3437578	0.39143232	0.46152844	0.37489948	0.48821066	0.37034759	0.49916658	0.35174747	0.37510577	0.48402995	0.34285247	0.3957049	0.36062788	0.36264071	0.50453184	0.43406676	0.3727615	0.36632536	0.3689323	0.41036118	0.28076043	0.34461918	0.3284294	0.32311129	0.51934136	0.36930309	0.56070268	0.41495003	0.45768173	0.52973377	0.33100658	0.33896093	0.23031526	0.37363851	0.44618345	0.36873345	0.42898557	0.51873098	0.83394059	0.41744594	0.38754061	0.45253595	0.54002224
CP.12.sed	0.20905089	0.40353434	0.41002912	0.0	0.3874633	0.25475061	0.39414921	0.40972026	0.36871518	0.33761308	0.39622498	0.34298809	0.27757362	0.42025869	0.64745715	0.50077073	0.34977036	0.38715653	0.36774402	0.53462597	0.40746485	0.38218139	0.45104682	0.29003903	0.35285616	0.55040996	0.35626497	0.38250111	0.48412786	0.30119354	0.4555438	0.36511753	0.2648603	0.37575955	0.44676482	0.35103668	0.40582275	0.3364895	0.37542383	0.38238578	0.3945044	0.42733642	0.38403693	0.3680256	0.3849503	0.39753865	0.48400183	0.27973468	0.29881165	0.35357101	0.39249803	0.34816015	0.37427663	0.36323323	0.33779854	0.27123196	0.27200786	0.39469854	0.32705006	0.34225819	0.40776056	0.32987665	0.33248855	0.36710607	0.32298205	0.37303104	0.32339798	0.35213291	0.40706092	0.34823752	0.35351352	0.40936228	0.3915336	0.34139754	0.39500455	0.40496442	0.362511	0.33948641	0.47485502	0.33249235	0.51255834	0.39589275	0.45152023	0.43264465	0.37467858	0.38065331	0.39254888	0.40363089	0.46299707	0.34694121	0.28713393	0.4236152	0.77415141	0.38734996	0.39664659	0.26837787	0.53087066
CP.49.water	0.41900431	0.348925	0.28165506	0.3874633	0.0	0.41870947	0.29005577	0.33006304	0.34979132	0.27909984	0.36018538	0.38836607	0.37219202	0.39710773	0.65362223	0.56188301	0.3293485	0.38406765	0.3499711	0.60949913	0.46360431	0.41694983	0.31457266	0.41974383	0.4137998	0.54385938	0.34001219	0.30173899	0.49714382	0.32051754	0.4055008	0.45740637	0.36054646	0.36511679	0.5385731	0.36868574	0.51880749	0.36942372	0.42000059	0.44472438	0.32565538	0.52375276	0.37708265	0.41078144	0.3818912	0.42224127	0.54694499	0.37822256	0.29270003	0.37148877	0.39989407	0.36832227	0.24520395	0.40603347	0.30070808	0.34055132	0.40904594	0.41069354	0.46070158	0.36047827	0.46762406	0.34168495	0.30349845	0.39786537	0.34626179	0.33230054	0.39040504	0.35945811	0.46964214	0.4351621	0.37548598	0.30696828	0.4030794	0.36389084	0.16867061	0.28077224	0.26139886	0.34456275	0.4197261	0.24517233	0.48727352	0.31287147	0.35615431	0.52837653	0.32919208	0.36168727	0.30202056	0.41726335	0.44464795	0.30314987	0.40405125	0.50029388	0.78641871	0.45751774	0.41287171	0.37101897	0.45068416
CP.7.sed	0.23186688	0.39735983	0.45856185	0.25475061	0.41870947	0.0	0.47331236	0.42553013	0.37513433	0.36887905	0.43646641	0.24061592	0.41393917	0.37732556	0.68076464	0.54204068	0.43547777	0.48763508	0.37370543	0.63817786	0.47743942	0.41921914	0.44308211	0.19436306	0.24965287	0.59582223	0.39390444	0.43221606	0.50385495	0.34716711	0.45872235	0.42836956	0.33499829	0.46465752	0.54819979	0.26527613	0.45285066	0.24611907	0.50382858	0.39472203	0.42217613	0.44602955	0.45350854	0.44479297	0.45482161	0.48425922	0.50318408	0.34156511	0.40807166	0.2782654	0.4425521	0.41763892	0.44696404	0.43923224	0.39003073	0.33234651	0.14232993	0.44938169	0.40900063	0.38215336	0.31457911	0.38350374	0.38081556	0.36560758	0.39103352	0.42118289	0.38827189	0.42097946	0.30572853	0.33753179	0.43965719	0.46679805	0.45115125	0.26346377	0.43217918	0.41034723	0.39932043	0.4332382	0.48705179	0.36341822	0.54023039	0.45218086	0.41478462	0.47428148	0.40812251	0.45940358	0.45927967	0.46483518	0.53075488	0.41770676	0.42570246	0.39636163	0.80933652	0.48935045	0.45275396	0.1927333	0.50775005
CP2.38.water	0.44840408	0.37961781	0.25316831	0.39414921	0.29005577	0.47331236	0.0	0.36523357	0.37297353	0.31302041	0.40283667	0.43061298	0.35490043	0.45196776	0.59294368	0.59186166	0.30930579	0.3663809	0.36937895	0.61864704	0.45752308	0.41727112	0.40182401	0.46979466	0.46731923	0.49161065	0.35181292	0.3375037	0.51627085	0.30729257	0.45730057	0.39652114	0.37483121	0.35535694	0.54357523	0.41193163	0.55207286	0.41278683	0.4373453	0.40122939	0.34201149	0.55083769	0.37311414	0.40964147	0.39055431	0.41789158	0.59258824	0.38538639	0.34656894	0.40942268	0.39998614	0.28892954	0.25486852	0.40044016	0.35963685	0.33436579	0.45778353	0.40495521	0.39726001	0.38906966	0.52714395	0.36484018	0.30693724	0.36355826	0.3495952	0.34011203	0.39352037	0.3695978	0.53430571	0.46881799	0.37532937	0.25975435	0.39920217	0.40302783	0.28203894	0.34020737	0.35607843	0.33600814	0.40238973	0.33368334	0.45029131	0.40908236	0.4452979	0.55906596	0.33106563	0.35966366	0.24914499	0.41383284	0.36240434	0.28036336	0.35400206	0.54943033	0.73837394	0.45902661	0.41523006	0.42801032	0.49252039
CP.35.water	0.42035751	0.26612548	0.32101632	0.40972026	0.33006304	0.42553013	0.36523357	0.0	0.36877048	0.32520154	0.30167528	0.43875209	0.40475464	0.44984519	0.73676633	0.58241951	0.35988936	0.43469457	0.30917924	0.65041289	0.45005277	0.39697381	0.44175006	0.42818801	0.44943772	0.58096776	0.41308291	0.26290769	0.48317592	0.37199086	0.44652172	0.46205511	0.38066358	0.42216023	0.5303777	0.38614768	0.54550733	0.3963477	0.45744209	0.4410993	0.24885986	0.5391767	0.43514519	0.39971902	0.37658432	0.42857575	0.57694143	0.40287646	0.40374583	0.38478807	0.38317429	0.37340671	0.35234731	0.38868145	0.27728502	0.38058142	0.42920442	0.39364414	0.46370036	0.29173443	0.47473134	0.35448435	0.35530187	0.47983611	0.35121199	0.40929608	0.38019028	0.37566687	0.4757721	0.42836106	0.35034514	0.41295274	0.38340464	0.38797368	0.33311319	0.30100784	0.28087836	0.37994321	0.52649112	0.31369821	0.60279512	0.42188273	0.45889509	0.54587257	0.30393762	0.40386161	0.30765298	0.40134759	0.46329427	0.39254675	0.40297575	0.51673174	0.83368503	0.4270693	0.38982365	0.43646543	0.55875094
CP.14.sed.PM	0.34665341	0.3725349	0.37383902	0.36871518	0.34979132	0.37513433	0.37297353	0.36877048	0.0	0.29372122	0.40340266	0.32526005	0.3798763	0.24500417	0.63633045	0.55996949	0.27470776	0.34558377	0.35255728	0.65203851	0.38057683	0.32397323	0.36139912	0.38448777	0.35842056	0.57168732	0.19253323	0.38125573	0.4836524	0.32489428	0.46234024	0.43824139	0.33653652	0.31006099	0.46313004	0.26537802	0.49489231	0.27944272	0.47652317	0.38484104	0.35590882	0.50032324	0.35206659	0.36935726	0.35097322	0.36098689	0.53437277	0.36720794	0.37975487	0.25866577	0.32272583	0.33395559	0.40802705	0.33960013	0.34547488	0.34542456	0.34388204	0.3331153	0.44248298	0.35542073	0.42908456	0.27610207	0.33127627	0.33779971	0.27629239	0.20310776	0.2967401	0.31144171	0.42646574	0.35766796	0.35875902	0.35379298	0.33703758	0.25683454	0.34880449	0.3193998	0.34570712	0.28942725	0.35142608	0.32842453	0.46987848	0.35777075	0.35685021	0.49859823	0.38752718	0.31017347	0.40420174	0.33518759	0.47944139	0.34448313	0.34568773	0.46623498	0.80140875	0.38609746	0.34612091	0.32617957	0.43306946
CP.45.water	0.33588717	0.33783644	0.32325878	0.33761308	0.27909984	0.36887905	0.31302041	0.32520154	0.29372122	0.0	0.33398942	0.33120231	0.3325835	0.34868469	0.64429867	0.50663807	0.29199536	0.38541025	0.32029418	0.60711287	0.41935105	0.38846857	0.38244022	0.34977841	0.37517442	0.50824752	0.30869035	0.31078935	0.4477994	0.26770146	0.40353674	0.40313081	0.26816636	0.35327939	0.51647964	0.29040698	0.43588767	0.28868758	0.42314851	0.39831032	0.30921316	0.44185198	0.38287051	0.39179906	0.38160394	0.40306029	0.46024799	0.2785509	0.32281117	0.29142421	0.38213817	0.33699809	0.30694799	0.38522273	0.30830164	0.27880712	0.34203824	0.3916168	0.39285952	0.34274137	0.37087362	0.32554589	0.28958255	0.38803143	0.31851545	0.31277484	0.35411296	0.34997403	0.38738984	0.3513187	0.33563182	0.29915704	0.3788943	0.2853804	0.26727523	0.29003446	0.31485912	0.32435481	0.43194936	0.28875947	0.5038431	0.36720277	0.39566395	0.45287405	0.31269354	0.36184179	0.32852336	0.39873687	0.42459849	0.31680943	0.34542203	0.40294714	0.78315983	0.43232148	0.40073485	0.34878993	0.48088252
